Average Perplexity Score: 12.982
<SOS> resumption of the session <EOS>    PP Score = 10.287
<SOS> for our part we remain staunchly opposed to the single currency which far from bringing us the advantages and flexibility of a shared currency imprisons us in an artificial straitjacket which has been imposed on the peoples of europe <EOS>    PP Score = 5.760
<SOS> having said that governing means planning it also means being responsible and in this new context which has been forced upon us competition law naturally has an essential role to play <EOS>    PP Score = 6.567
<SOS> in this area the commission has given priority to a number of routes of action acting on the structure of markets by actively combating anti competitive practices by refocusing its departments supervisory activities only upon matters with a manifest community interest and by affirming its intention to modernise competition law <EOS>    PP Score = 5.652
<SOS> as regards state aid it is essential to ensure that regulations are not made more complex and the introduction of a public register where all aid would be recorded does not seem advisable to us since this onerous commitment would quite naturally run counter to the attempts to simplify bureaucratic constraints <EOS>    PP Score = 5.918
<SOS> finally on the subject of modernising the implementation of articles <NUM> and <NUM> of the treaty we do not think that decentralised application would necessarily be going in the right direction <EOS>    PP Score = 6.138
<SOS> the commission is in fact retaining not only the power to take matters out of the jurisdiction of national authorities but clearly obliging the national jurisdictions to avoid disputing the decisions of the commission at all <EOS>    PP Score = 6.689
<SOS> national states would thus become the secular arm of the commission regarding observance of the application of rules which they do not control <EOS>    PP Score = 9.416
<SOS> in conclusion i would say that while some measures are heading in the right direction we shall of course remain vigilant in order to prevent the snowballing of federalism which if it were realised would be to the detriment of europe and the sovereignty of the states <EOS>    PP Score = 5.645
<SOS> mr president commissioner we have a basically positive view of the commission s white paper on competition particularly as regards the abolition of the system of notification and authorisation but we are also puzzled by several things <EOS>    PP Score = 7.875
<SOS> first of all there is a risk that the decentralisation of powers though necessary in many ways will cause an abnormal increase in competition related initiatives and that some people will be tempted to use competition law not as a means to be resorted to when all else fails of ensuring the smooth and predictable functioning of the markets but for the purposes of as an instrument for economic and industrial policy planning and interference with the natural workings of the markets themselves or even for protectionist purposes <EOS>    PP Score = 5.625
<SOS> in this respect we should heed the words of von eieck and doubtless also those of the great italian liberal bruno leoni who warned precisely against the risks of an abnormal increase in anti competition policies <EOS>    PP Score = 5.292
<SOS> state interference in the economy is even today still to blame for the most serious hindrances placed in the way of the market competition and freedom of choice for european users and consumers <EOS>    PP Score = 8.062
<SOS> there is state aid for businesses we have already discussed this there is still a strong public presence in the economy it is estimated that the italian treasury controls 15 of stock exchange capitalisation governments and central banks place obstacles in the way of mergers and acquisitions and there has been much talk in recent weeks about vodafone s bid for mannesmann and the bailout of holzmann <EOS>    PP Score = 5.417
